"provinsi","kode_prov","Kategori","kode_kategori","Output","Persentase Permintaan Antara Intraregional","Persentase Permintaan Antara Interregional","Persentase Permintaan Akhir Intraregional","Persentase Permintaan Akhir Interregional","Angka Pengganda Output Intraregional","Angka Pengganda Output Interreginal","Angka Pengganda Pendapatan Intraregional","Angka Pengganda Pendapatan interregional"
"Kalimantan Barat","61","Industri Pengolahan","C","47941836.787728","72.852673531895","27.147326468105","59.966826502715","40.033173497285","1.65718454357","0.22512678230845","0.21533410881845","0.050334383167313"
"Kalimantan Barat","61","Pengadaan Listrik dan Gas","D","6228075.917349","78.840535212811","21.159464787189","87.235751489614","12.764248510386","2.1988914468116","0.95362206196978","0.12409073637661","0.15117326918832"
"Kalimantan Barat","61","Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang","E","634760.27888195","65.264852936321","34.735147063679","73.685948490622","26.314051509378","1.4821327885757","0.45283837814664","0.24269295849408","0.082751241552323"
"Kalimantan Barat","61","Konstruksi","F","23918512.914367","100","0","99.940599556848","0.059400443151914","1.5329480553623","0.56910913440942","0.18880357417472","0.1097467264225"
"Kalimantan Barat","61","Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor","G","30453365.276809","81.640126927696","18.359873072304","80.50191651661","19.49808348339","1.3347241928458","0.27792308121919","0.22773046731225","0.055149340359952"
"Kalimantan Barat","61","Transportasi dan Pergudangan ","H","20267893.48678","63.880968823309","36.119031176691","67.629273113622","32.370726886378","1.438094874892","0.55426213975024","0.10509586491082","0.10133550822446"
"Kalimantan Barat","61","Penyediaan Akomodasi dan Makan Minum","I","11336427.230149","75.871846310124","24.128153689876","56.407975946448","43.592024053552","1.7149599084642","0.27518448329664","0.19938590734589","0.062619965989944"
"Kalimantan Barat","61","Informasi dan Komunikasi","J","8795095.5502907","90.775211330439","9.2247886695611","85.953199074966","14.046800925034","1.4140921132016","0.2490637832803","0.10054227103918","0.048453890094557"
"Kalimantan Barat","61","Jasa Keuangan dan Asuransi","K","7757067.7553324","81.005816588807","18.994183411193","69.338266881973","30.661733118027","1.2134530440554","0.14227946919589","0.32914229291451","0.03273903922451"
"Kalimantan Barat","61","Real Estate","L","8297468.4306806","98.789901544215","1.2100984557846","98.238351054059","1.7616489459413","1.2158481997537","0.1867363201818","0.065131112703305","0.038215152912519"
"Kalimantan Barat","61","Jasa Perusahaan","MN","2276953.7779817","99.514593934391","0.48540606560928","63.367660624072","36.632339375928","1.4460344671033","0.31751047144182","0.18294247602924","0.064879316662093"
"Kalimantan Barat","61","Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib","O","14328795.873586","98.721492202319","1.2785077976813","99.345940299874","0.65405970012594","1.4424324387839","0.31079758661","0.41586770979538","0.060099585068953"
"Kalimantan Barat","61","Jasa Pendidikan","P","7965960.2410923","96.450413950407","3.549586049593","98.192400224759","1.8075997752409","1.2689906718785","0.27703681261943","0.58826845519914","0.05379756692087"
"Kalimantan Barat","61","Jasa Kesehatan dan Kegiatan Sosial","Q","3175974.7159128","88.8775311324","11.1224688676","90.936345995932","9.0636540040684","1.417460827269","0.38994075190884","0.44885045115205","0.074647218204913"
"Kalimantan Barat","61","Jasa Lainnya","RSTU","4491821.457852","88.150561005876","11.849438994124","92.342808148259","7.657191851741","1.4987150683177","0.30689738687059","0.51404983209286","0.062232810455546"
